SKU,Category,Cost,Price
SKU00140,Beauty,38.08,70.17
SKU00141,Automotive,29.66,45.64
SKU00142,Beauty,41.31,82.3
SKU00143,Sports,21.74,39.59
SKU00144,Beauty,44.02,72.61
SKU00145,Electronics,35.59,63.78
SKU00146,Home & Garden,9.64,18.53
SKU00147,Sports,42.19,61.43
SKU00148,Home & Garden,22.51,27.21
SKU00149,Automotive,43.12,63.99
SKU00150,Sports,30.8,52.54
SKU00151,Books,9.13,15.35
SKU00152,Sports,35.26,63.54
SKU00153,Food,40.16,51.84
SKU00154,Books,27.25,33.95
SKU00155,Health,24.87,47.5
SKU00156,Clothing,48.59,85.05
SKU00157,Health,32.82,42.04
SKU00158,Food,24.17,33.31
SKU00159,Automotive,41.98,74.1
SKU00160,Books,28.1,38.96
SKU00161,Beauty,21.84,32.69
SKU00162,Sports,15.65,30.15
SKU00163,Sports,20.76,36.67
SKU00164,Home & Garden,39.97,65.82
SKU00165,Health,45.79,59.02
SKU00166,Home & Garden,16.42,25.02
SKU00167,Health,38.34,69.55
SKU00168,Automotive,38.49,67.16
SKU00169,Automotive,21.87,31.24
SKU00170,Beauty,28.78,44.58
SKU00171,Health,5.55,10.96
SKU00172,Books,6.95,13.49
SKU00173,Books,16.38,28.78
SKU00174,Automotive,28.54,48.62
SKU00175,Electronics,33.24,55.43
SKU00176,Food,7.05,10.04
SKU00177,Beauty,22.75,29.25
SKU00178,Books,17.48,23.61
SKU00179,Health,22.47,31.09
SKU00180,Books,48.85,97.16
SKU00181,Toys,6.45,9.19
SKU00182,Books,41.62,72.74
SKU00183,Home & Garden,42.01,82.34
SKU00184,Books,32.6,50.03
SKU00185,Beauty,44.45,72.95
SKU00186,Books,6.19,9.29
SKU00187,Electronics,26.62,52.92
SKU00188,Books,38.73,58.65
SKU00189,Electronics,42.72,67.29
SKU00190,Home & Garden,11.02,13.35
SKU00191,Food,43.91,81.25
SKU00192,Books,49.85,81.97
SKU00193,Books,37.68,68.03
SKU00194,Home & Garden,16.13,25.17
SKU00195,Electronics,47.93,80.76
SKU00196,Electronics,35.23,59.69
SKU00197,Beauty,6.0,9.59
SKU00198,Toys,39.75,64.25
SKU00199,Electronics,29.84,49.19
SKU00200,Automotive,31.55,49.97
SKU00201,Food,38.98,66.12
SKU00202,Clothing,41.23,79.26
SKU00203,Clothing,20.78,34.74
SKU00204,Home & Garden,45.69,67.55
SKU00205,Toys,25.29,48.77
SKU00206,Food,28.56,50.22
SKU00207,Sports,25.67,48.1
SKU00208,Electronics,16.62,26.05
SKU00209,Clothing,32.94,48.68
SKU00210,Home & Garden,29.18,45.75
SKU00211,Toys,36.4,48.92
SKU00212,Sports,20.56,39.41
SKU00213,Home & Garden,28.19,55.76
SKU00214,Health,15.07,28.0
SKU00215,Clothing,17.54,23.53
SKU00216,Books,29.69,48.33
SKU00217,Health,45.24,58.95
SKU00218,Health,36.07,44.42
SKU00219,Automotive,26.65,46.65
SKU00220,Beauty,44.31,85.82
SKU00221,Electronics,17.46,32.21
SKU00222,Electronics,31.88,63.4
SKU00223,Beauty,26.8,45.42
SKU00224,Food,28.91,51.35
SKU00225,Health,6.65,9.32
SKU00226,Food,35.92,67.37
SKU00227,Clothing,25.13,40.87
SKU00228,Automotive,38.18,51.39
SKU00229,Food,19.49,26.69
SKU00230,Health,29.09,40.34
SKU00231,Sports,26.33,39.07
SKU00232,Automotive,27.43,34.82
SKU00233,Toys,31.41,56.42
SKU00234,Electronics,30.4,45.69
SKU00235,Books,21.34,36.63
SKU00236,Clothing,16.0,25.57
SKU00237,Toys,32.26,44.83
SKU00238,Toys,15.14,22.59
SKU00239,Sports,43.29,54.99
SKU00240,Beauty,45.35,57.34
SKU00241,Home & Garden,5.82,10.23
SKU00242,Beauty,10.04,15.25
SKU00243,Sports,5.24,10.37
SKU00244,Beauty,37.53,69.68
SKU00245,Clothing,30.05,49.81
SKU00246,Home & Garden,42.74,58.29
SKU00247,Health,19.57,30.14
SKU00248,Electronics,38.13,61.92
SKU00249,Electronics,32.48,46.47
SKU00250,Books,27.77,54.04
SKU00251,Home & Garden,7.33,10.77
SKU00252,Health,29.69,48.66
SKU00253,Clothing,19.51,36.04
SKU00254,Electronics,11.25,13.52
SKU00255,Automotive,31.8,50.16
SKU00256,Food,40.74,52.37
SKU00257,Books,42.38,83.57
SKU00258,Books,37.89,73.91
SKU00259,Home & Garden,7.99,14.33
SKU00260,Toys,7.16,13.08
SKU00261,Automotive,38.77,71.33
SKU00262,Home & Garden,12.39,22.95
SKU00263,Health,45.85,66.62
SKU00264,Health,22.66,42.0
SKU00265,Food,37.12,71.26
SKU00266,Toys,29.29,45.43
SKU00267,Electronics,15.45,29.66
SKU00268,Food,28.93,36.26
SKU00269,Beauty,33.09,42.8
SKU00270,Toys,19.98,35.65
SKU00271,Health,11.27,20.68
SKU00272,Electronics,29.01,55.55
SKU00273,Sports,49.9,89.91
SKU00274,Books,40.04,52.63
SKU00275,Sports,30.65,55.47
SKU00276,Health,20.39,37.87
SKU00277,Sports,25.57,43.03
SKU00278,Beauty,11.75,16.25
SKU00279,Clothing,5.55,9.32
SKU00280,Sports,29.42,41.23
SKU00281,Books,42.21,83.03
SKU00282,Beauty,31.25,47.53
SKU00283,Health,47.63,63.0
SKU00284,Beauty,27.76,46.9
SKU00285,Beauty,44.25,86.09
SKU00286,Sports,46.34,84.9
SKU00287,Books,36.83,48.68
SKU00288,Health,8.1,10.22
SKU00289,Beauty,42.82,82.58
SKU00290,Electronics,10.1,20.07
SKU00291,Sports,10.61,20.55
SKU00292,Toys,28.35,47.43
SKU00293,Books,22.07,39.62
SKU00294,Health,41.13,49.51
SKU00295,Automotive,10.14,15.53
SKU00296,Health,46.39,68.53
SKU00297,Clothing,26.64,51.54
SKU00298,Home & Garden,16.17,26.88
SKU00299,Sports,23.85,46.08
SKU00300,Electronics,40.12,57.06
SKU00301,Health,5.59,9.67
SKU00302,Food,48.9,76.63
SKU00303,Sports,23.66,30.01
SKU00304,Beauty,27.6,46.26
SKU00305,Food,24.21,44.53
SKU00306,Electronics,6.64,10.48
SKU00307,Beauty,31.44,45.12
SKU00308,Home & Garden,25.4,41.13
SKU00309,Electronics,23.03,37.95
SKU00310,Sports,13.19,24.92
SKU00311,Food,38.9,55.15
SKU00312,Home & Garden,33.98,51.89
SKU00313,Food,49.05,91.82
SKU00314,Food,34.65,42.33
SKU00315,Food,16.42,22.29
SKU00316,Beauty,9.68,17.82
SKU00317,Home & Garden,44.94,73.94
SKU00318,Beauty,9.47,13.21
SKU00319,Beauty,41.31,81.38
SKU00320,Sports,35.06,47.83
SKU00321,Food,45.34,54.87
SKU00322,Food,38.12,71.6
SKU00323,Home & Garden,31.24,48.02
SKU00324,Clothing,45.98,78.15
SKU00325,Health,42.13,62.79
SKU00326,Food,17.06,29.0
SKU00327,Toys,39.82,59.34
SKU00328,Books,18.25,35.75
SKU00329,Toys,40.09,51.77
SKU00330,Beauty,49.34,77.8
SKU00331,Electronics,26.82,43.17
SKU00332,Automotive,29.37,50.13
SKU00333,Food,14.81,25.42
SKU00334,Sports,10.95,21.03
SKU00335,Clothing,17.25,20.96
SKU00336,Clothing,28.83,53.4
SKU00337,Automotive,17.33,28.48
SKU00338,Automotive,27.39,48.64
SKU00339,Books,5.49,7.2
SKU00340,Automotive,16.99,30.34
SKU00341,Clothing,32.02,55.47
SKU00342,Food,30.8,57.61
SKU00343,Books,22.24,35.92
SKU00344,Clothing,12.48,22.35
SKU00345,Home & Garden,9.07,16.47
SKU00346,Books,42.67,66.13
SKU00347,Sports,37.36,53.71
SKU00348,Home & Garden,47.72,72.4
SKU00349,Beauty,47.16,84.23
SKU00350,Electronics,17.15,27.98
SKU00351,Home & Garden,31.78,39.44
SKU00352,Clothing,33.05,52.2
SKU00353,Automotive,8.38,14.94
SKU00354,Automotive,36.72,61.64
SKU00355,Automotive,16.09,29.85
SKU00356,Books,5.11,10.08
SKU00357,Toys,31.56,46.99
SKU00358,Electronics,11.16,21.87
SKU00359,Food,28.46,36.12
SKU00360,Beauty,39.13,66.95
SKU00361,Electronics,34.65,60.76
SKU00362,Toys,49.13,94.45
SKU00363,Health,7.32,12.71
SKU00364,Health,31.47,62.93
SKU00365,Health,30.56,59.05
SKU00366,Books,37.9,51.31
SKU00367,Beauty,48.7,95.22
SKU00368,Clothing,38.53,47.93
SKU00369,Home & Garden,19.36,36.07
SKU00370,Electronics,34.26,51.1
SKU00371,Clothing,44.82,72.81
SKU00372,Health,37.61,47.1
SKU00373,Beauty,29.28,53.65
SKU00374,Automotive,38.2,61.74
SKU00375,Health,44.45,68.19
SKU00376,Home & Garden,44.15,53.74
SKU00377,Food,13.35,20.12
SKU00378,Home & Garden,8.15,9.84
SKU00379,Electronics,23.09,36.57
SKU00380,Automotive,31.13,44.13
SKU00381,Automotive,39.57,60.71
SKU00382,Food,28.51,50.92
SKU00383,Electronics,9.97,14.79
SKU00384,Clothing,18.33,25.43
SKU00385,Automotive,17.48,33.7
SKU00386,Automotive,9.93,15.02
SKU00387,Sports,14.82,29.05
SKU00388,Books,9.02,13.84
SKU00389,Beauty,44.79,75.27
SKU00390,Clothing,12.52,24.94
SKU00391,Beauty,47.42,81.55
SKU00392,Books,42.38,54.93
SKU00393,Clothing,22.28,27.4
SKU00394,Health,40.08,59.32
SKU00395,Books,33.34,45.78
SKU00396,Automotive,46.75,93.31
SKU00397,Health,28.19,44.9
SKU00398,Electronics,11.93,22.09
SKU00399,Toys,33.03,59.4
SKU00400,Automotive,31.68,52.72
SKU00401,Clothing,25.58,38.71
SKU00402,Automotive,7.0,13.17
SKU00403,Health,41.43,71.43
SKU00404,Books,38.08,54.27
SKU00405,Toys,16.69,29.69
SKU00406,Health,28.97,57.06
SKU00407,Books,49.62,61.98
SKU00408,Home & Garden,42.11,62.25
SKU00409,Clothing,29.47,55.75
SKU00410,Electronics,44.54,81.86
SKU00411,Beauty,16.04,21.26
SKU00412,Automotive,20.03,27.86
SKU00413,Books,35.61,60.35
SKU00414,Toys,13.51,25.75
SKU00415,Health,25.95,49.38
SKU00416,Health,10.8,15.85
SKU00417,Food,12.23,22.69
SKU00418,Food,13.69,17.35
SKU00419,Electronics,30.19,39.03
SKU00420,Clothing,33.53,54.72
SKU00421,Home & Garden,10.78,15.38
SKU00422,Food,29.36,57.84
SKU00423,Books,9.61,18.74
SKU00424,Sports,8.05,11.6
SKU00425,Electronics,39.69,70.13
SKU00426,Toys,20.56,34.89
SKU00427,Clothing,44.22,87.5
SKU00428,Sports,34.14,57.2
SKU00429,Food,7.95,14.77
SKU00430,Home & Garden,16.36,19.65
SKU00431,Clothing,17.31,34.59
SKU00432,Electronics,9.6,18.08
SKU00433,Food,42.17,60.66
SKU00434,Clothing,39.78,55.05
SKU00435,Home & Garden,47.79,63.12
SKU00436,Books,45.93,86.62
SKU00437,Sports,22.89,32.49
SKU00438,Home & Garden,19.04,27.73
SKU00439,Toys,15.35,21.03
SKU00440,Electronics,34.33,51.31
SKU00441,Beauty,12.17,16.58
SKU00442,Books,11.91,18.62
SKU00443,Clothing,39.25,66.76
SKU00444,Books,46.03,90.87
SKU00445,Sports,40.84,64.75
SKU00446,Food,10.63,18.59
SKU00447,Sports,30.13,41.59
SKU00448,Toys,31.19,44.14
SKU00449,Beauty,24.5,48.69
SKU00450,Electronics,5.52,6.95
SKU00451,Clothing,26.6,44.68
SKU00452,Automotive,43.71,79.71
SKU00453,Beauty,37.59,67.64
SKU00454,Automotive,15.89,31.61
SKU00455,Toys,32.82,57.82
SKU00456,Health,39.91,77.95
SKU00457,Electronics,28.3,35.95
SKU00458,Electronics,42.1,62.58
SKU00459,Food,10.97,18.15
SKU00460,Health,41.03,55.8
SKU00461,Food,35.17,68.97
SKU00462,Home & Garden,45.33,75.96
SKU00463,Automotive,7.34,11.98
SKU00464,Clothing,47.08,92.18
SKU00465,Sports,20.28,37.55
SKU00466,Food,34.74,57.05
SKU00467,Toys,41.78,65.25
SKU00468,Home & Garden,6.83,9.1
SKU00469,Clothing,7.72,10.78
SKU00470,Automotive,44.23,60.83
SKU00471,Food,26.16,46.97
SKU00472,Food,24.51,30.27
SKU00473,Clothing,5.94,10.23
SKU00474,Books,49.84,98.67
SKU00475,Home & Garden,8.67,13.2
SKU00476,Toys,6.38,8.97
SKU00477,Electronics,44.07,78.53
SKU00478,Beauty,24.15,35.66
SKU00479,Sports,27.72,45.31
SKU00480,Home & Garden,31.04,48.14
SKU00481,Books,22.8,38.41
SKU00482,Clothing,40.68,70.14
SKU00483,Home & Garden,31.66,61.09
SKU00484,Home & Garden,33.03,56.33
SKU00485,Electronics,10.92,19.36
SKU00486,Food,33.46,50.14
SKU00487,Clothing,13.14,24.76
SKU00488,Automotive,16.13,30.58
SKU00489,Beauty,31.07,53.76
SKU00490,Food,12.36,18.7
SKU00491,Automotive,22.96,43.31
SKU00492,Books,19.63,35.71
SKU00493,Beauty,22.85,31.75
SKU00494,Health,8.31,11.1
SKU00495,Health,25.19,43.73
SKU00496,Automotive,24.39,34.12
SKU00497,Electronics,16.36,24.34
SKU00498,Automotive,32.25,47.9
SKU00499,Books,40.18,70.89
SKU00500,Beauty,31.34,59.38
SKU00501,Sports,17.14,21.35
SKU00502,Books,47.15,58.06
SKU00503,Food,15.11,20.31
SKU00504,Books,9.65,16.09
SKU00505,Health,22.88,36.24
SKU00506,Clothing,19.54,38.66
SKU00507,Food,25.46,41.06
SKU00508,Clothing,20.42,33.2
SKU00509,Food,6.35,9.18
SKU00510,Clothing,14.08,24.49
SKU00511,Clothing,13.48,24.05
SKU00512,Toys,44.07,59.12
SKU00513,Clothing,34.77,68.95
SKU00514,Health,5.79,8.08
SKU00515,Health,44.1,73.05
SKU00516,Beauty,40.8,78.94
SKU00517,Electronics,14.71,25.4
SKU00518,Books,35.01,58.18
SKU00519,Clothing,49.97,61.9
SKU00520,Automotive,43.99,87.74
SKU00521,Automotive,9.07,12.98
SKU00522,Sports,34.27,62.11
SKU00523,Sports,35.04,64.7
SKU00524,Clothing,44.51,64.7
SKU00525,Electronics,10.41,17.03
SKU00526,Automotive,19.78,33.7
SKU00527,Health,22.83,40.09
SKU00528,Automotive,31.84,52.11
SKU00529,Home & Garden,15.23,19.16
SKU00530,Home & Garden,12.58,21.56
SKU00531,Clothing,25.86,38.88
SKU00532,Health,47.82,89.79
SKU00533,Books,41.62,53.57
SKU00534,Books,22.95,38.19
SKU00535,Sports,32.36,58.63
SKU00536,Toys,38.61,68.43
SKU00537,Books,13.81,16.66
SKU00538,Books,45.41,63.34
SKU00539,Home & Garden,7.71,15.02
SKU00540,Toys,13.76,18.34
SKU00541,Sports,16.55,23.64
SKU00542,Home & Garden,31.14,39.6
SKU00543,Clothing,23.0,45.56
SKU00544,Health,10.48,14.1
SKU00545,Health,40.99,55.24
SKU00546,Beauty,40.7,54.88
SKU00547,Beauty,48.33,76.69
SKU00548,Food,41.71,62.51
SKU00549,Health,10.05,12.09
SKU00550,Toys,41.86,79.85
SKU00551,Automotive,40.72,69.93
SKU00552,Beauty,23.5,43.98
SKU00553,Beauty,39.65,65.23
SKU00554,Books,18.59,33.2
SKU00555,Sports,24.07,41.74
SKU00556,Clothing,39.5,52.13
SKU00557,Food,31.4,41.9
SKU00558,Home & Garden,44.12,69.63
SKU00559,Books,9.31,11.34
SKU00560,Home & Garden,32.32,52.92
SKU00561,Health,16.56,28.24
SKU00562,Automotive,27.35,54.44
SKU00563,Home & Garden,31.87,55.47
SKU00564,Health,24.27,43.06
SKU00565,Electronics,5.71,8.41
SKU00566,Home & Garden,32.14,47.25
SKU00567,Food,39.77,56.15
SKU00568,Books,45.24,61.23
SKU00569,Beauty,21.51,31.73
SKU00570,Food,8.12,13.12
SKU00571,Clothing,35.13,44.12
SKU00572,Books,17.2,28.8
SKU00573,Home & Garden,28.98,42.3
SKU00574,Home & Garden,13.56,16.85
SKU00575,Clothing,21.33,42.59
SKU00576,Food,25.93,32.37
SKU00577,Health,48.09,64.46
SKU00578,Automotive,12.67,19.36
SKU00579,Automotive,41.98,50.42
SKU00580,Beauty,40.8,79.21
SKU00581,Food,22.97,30.36
SKU00582,Books,38.17,69.28
SKU00583,Electronics,42.89,69.35
SKU00584,Toys,16.57,30.32
SKU00585,Electronics,32.38,51.99
SKU00586,Sports,36.89,45.34
SKU00587,Electronics,15.23,22.44
SKU00588,Automotive,8.94,17.44
SKU00589,Automotive,27.94,51.97
SKU00590,Food,47.41,90.01
SKU00591,Toys,46.37,74.08
SKU00592,Toys,30.5,46.14
SKU00593,Electronics,10.24,18.98
SKU00594,Home & Garden,35.34,57.47
SKU00595,Toys,11.36,15.56
SKU00596,Automotive,19.51,23.77
SKU00597,Clothing,15.06,29.61
SKU00598,Clothing,33.84,62.88
SKU00599,Automotive,26.57,38.55
SKU00600,Electronics,32.28,58.49
SKU00601,Sports,27.62,41.95
SKU00602,Automotive,34.98,45.39
SKU00603,Books,6.16,8.06
SKU00604,Sports,8.6,15.66
SKU00605,Sports,24.78,31.83
SKU00606,Toys,5.01,6.09
SKU00607,Clothing,34.26,45.28
SKU00608,Home & Garden,30.4,41.14
SKU00609,Automotive,7.62,15.2
SKU00610,Beauty,18.38,28.39
SKU00611,Automotive,11.4,14.79
SKU00612,Home & Garden,13.0,22.79
SKU00613,Electronics,27.92,55.77
SKU00614,Electronics,15.47,21.3
SKU00615,Sports,34.51,64.82
SKU00616,Clothing,10.88,20.78
SKU00617,Home & Garden,21.55,33.0
SKU00618,Food,38.01,69.01
SKU00619,Food,23.73,37.61
SKU00620,Toys,40.57,67.57
SKU00621,Food,11.17,18.19
SKU00622,Electronics,19.56,36.52
SKU00623,Books,13.95,17.46
SKU00624,Sports,21.71,30.67
SKU00625,Books,43.0,54.97
SKU00626,Health,10.72,20.29
SKU00627,Clothing,26.42,39.65
SKU00628,Sports,43.68,66.13
SKU00629,Health,45.14,88.67
SKU00630,Electronics,34.64,67.7
SKU00631,Clothing,24.69,34.66
SKU00632,Health,46.86,65.72
SKU00633,Beauty,25.77,44.05
SKU00634,Clothing,22.39,34.92
SKU00635,Electronics,32.63,40.89
SKU00636,Beauty,44.71,57.43
SKU00637,Electronics,24.95,30.89
SKU00638,Beauty,8.82,15.63
SKU00639,Home & Garden,8.21,9.93
SKU00640,Books,27.89,42.11
SKU00641,Sports,20.74,37.73
SKU00642,Food,40.27,59.76
SKU00643,Health,9.43,16.29
SKU00644,Beauty,16.93,20.6
SKU00645,Electronics,18.3,33.21
SKU00646,Automotive,48.92,84.82
SKU00647,Home & Garden,10.46,17.7
SKU00648,Automotive,33.98,55.18
SKU00649,Clothing,19.5,25.35
SKU00650,Beauty,10.13,16.09
SKU00651,Clothing,10.76,15.83
SKU00652,Beauty,31.93,40.75
SKU00653,Beauty,24.44,37.92
SKU00654,Automotive,12.37,17.55
SKU00655,Sports,10.47,14.21
SKU00656,Electronics,34.06,48.66
SKU00657,Food,44.57,62.69
SKU00658,Clothing,33.62,46.29
SKU00659,Beauty,38.67,63.66
SKU00660,Food,34.53,46.33
SKU00661,Toys,38.89,55.05
SKU00662,Clothing,9.86,17.23
SKU00663,Sports,41.8,57.3
SKU00664,Home & Garden,11.78,17.36
SKU00665,Toys,29.4,49.17
SKU00666,Beauty,32.54,41.8
SKU00667,Food,36.0,68.35
SKU00668,Automotive,39.25,52.13
SKU00669,Health,30.11,55.69
SKU00670,Books,44.67,63.53
SKU00671,Home & Garden,23.07,42.45
SKU00672,Automotive,29.98,53.56
SKU00673,Food,32.67,57.19
SKU00674,Automotive,29.94,36.05
SKU00675,Health,42.8,79.87
SKU00676,Automotive,48.11,71.9
SKU00677,Home & Garden,42.89,67.6
SKU00678,Home & Garden,49.84,74.49
SKU00679,Sports,37.49,71.57
SKU00680,Home & Garden,11.2,19.38
SKU00681,Toys,36.3,43.66
SKU00682,Toys,12.51,16.83
SKU00683,Sports,23.1,43.89
SKU00684,Home & Garden,7.92,13.18
SKU00685,Food,36.63,45.51
SKU00686,Beauty,35.44,65.35
SKU00687,Home & Garden,27.42,34.6
SKU00688,Toys,36.29,65.21
SKU00689,Health,36.85,67.46
SKU00690,Home & Garden,24.81,32.7
SKU00691,Food,38.1,52.91
SKU00692,Sports,7.81,14.39
SKU00693,Automotive,46.99,80.54
SKU00694,Electronics,33.69,53.8
SKU00695,Toys,49.6,89.17
SKU00696,Food,30.73,51.33
SKU00697,Automotive,30.45,60.4
SKU00698,Home & Garden,6.18,7.53
SKU00699,Toys,17.29,27.91
SKU00700,Home & Garden,47.33,66.61
SKU00701,Health,44.27,82.95
SKU00702,Books,26.64,41.24
SKU00703,Books,36.77,62.69
SKU00704,Food,45.68,88.04
SKU00705,Beauty,37.83,68.56
SKU00706,Toys,15.14,19.75
SKU00707,Automotive,38.81,66.97
SKU00708,Sports,5.6,7.99
SKU00709,Health,17.7,24.94
SKU00710,Home & Garden,17.4,31.84
SKU00711,Health,17.24,31.16
SKU00712,Health,43.02,60.85
SKU00713,Automotive,26.94,33.05
SKU00714,Sports,32.89,54.25
SKU00715,Books,28.96,44.27
SKU00716,Food,8.89,12.35
SKU00717,Beauty,29.67,38.65
SKU00718,Food,22.71,42.28
SKU00719,Beauty,16.71,29.82
SKU00720,Health,49.08,64.59
SKU00721,Food,13.91,22.99
SKU00722,Home & Garden,18.89,36.98
SKU00723,Automotive,13.24,16.12
SKU00724,Books,15.14,21.21
SKU00725,Food,35.77,58.52
SKU00726,Beauty,10.16,19.19
SKU00727,Health,29.41,53.93
SKU00728,Electronics,29.46,37.28
SKU00729,Toys,43.11,66.52
SKU00730,Books,47.56,89.41
SKU00731,Clothing,9.39,17.74
SKU00732,Home & Garden,34.29,56.12
SKU00733,Beauty,40.41,52.12
SKU00734,Health,49.01,89.95
SKU00735,Electronics,14.06,19.78
SKU00736,Sports,29.52,53.33
SKU00737,Sports,28.37,38.7
SKU00738,Books,34.68,46.1
SKU00739,Automotive,30.21,54.39
SKU00740,Electronics,6.22,7.79
SKU00741,Home & Garden,45.91,74.89
SKU00742,Sports,40.93,61.29
SKU00743,Food,41.99,63.17
SKU00744,Home & Garden,24.85,33.71
SKU00745,Health,9.23,13.71
SKU00746,Automotive,30.99,52.92
SKU00747,Food,33.92,46.02
SKU00748,Beauty,28.41,44.26
SKU00749,Toys,40.7,59.15
SKU00750,Home & Garden,21.34,40.92
SKU00751,Beauty,27.82,46.69
SKU00752,Food,13.29,25.45
SKU00753,Books,24.81,41.99
SKU00754,Toys,43.56,56.37
SKU00755,Food,48.52,74.44
SKU00756,Food,10.51,18.71
SKU00757,Clothing,12.47,23.76
SKU00758,Food,10.84,18.97
SKU00759,Home & Garden,28.73,51.01
