SKU,Current Stock,Ordered Stock,Lead Time,Reorder Point
SKU00326,264,95,3,43
SKU00327,58,39,4,54
SKU00328,408,72,8,51
SKU00329,284,3,12,87
SKU00330,78,97,9,66
SKU00331,124,69,4,71
SKU00332,405,40,8,63
SKU00333,66,36,11,56
SKU00334,362,30,8,69
SKU00335,147,11,11,82
SKU00336,443,44,3,55
SKU00337,239,45,4,83
SKU00338,412,64,5,82
SKU00339,341,25,7,40
SKU00340,345,10,6,88
SKU00341,344,98,8,84
SKU00342,160,23,8,51
SKU00343,118,55,3,65
SKU00344,288,19,5,91
SKU00345,414,97,11,55
SKU00346,499,72,11,69
SKU00347,66,0,11,90
SKU00348,476,41,11,68
SKU00349,340,2,4,73
SKU00350,484,93,8,41
SKU00351,324,43,13,78
SKU00352,494,16,12,86
SKU00353,360,46,10,37
SKU00354,198,80,9,99
SKU00355,249,24,4,41
SKU00356,192,58,12,55
SKU00357,96,31,12,45
SKU00358,248,16,9,55
SKU00359,135,6,7,36
SKU00360,186,47,10,88
SKU00361,264,92,4,68
SKU00362,451,58,12,46
SKU00363,63,30,10,89
SKU00364,350,97,5,66
SKU00365,220,39,12,84
SKU00366,413,38,10,33
SKU00367,398,85,11,42
SKU00368,259,32,12,95
SKU00369,360,98,12,63
SKU00370,463,12,4,61
SKU00371,145,98,13,68
SKU00372,351,28,3,91
SKU00373,294,56,10,39
SKU00374,463,24,9,34
SKU00375,114,93,3,32
SKU00376,478,13,10,59
SKU00377,373,17,7,54
SKU00378,481,64,7,44
SKU00379,354,87,6,41
SKU00380,236,36,7,72
SKU00381,429,69,9,85
SKU00382,368,45,10,40
SKU00383,111,76,4,54
SKU00384,248,51,6,88
SKU00385,121,19,8,86
SKU00386,267,40,3,32
SKU00387,425,5,7,34
SKU00388,103,46,9,78
SKU00389,58,98,6,90
SKU00390,428,34,4,91
SKU00391,194,87,5,61
SKU00392,276,12,10,97
SKU00393,447,97,13,85
SKU00394,372,91,11,96
SKU00395,458,97,12,38
SKU00396,89,24,7,40
SKU00397,492,97,10,67
SKU00398,377,4,12,47
SKU00399,86,59,7,69
SKU00400,350,95,5,87
SKU00401,372,55,10,69
SKU00402,396,76,3,35
SKU00403,265,18,10,88
SKU00404,108,47,11,42
SKU00405,412,44,11,82
SKU00406,219,99,13,67
SKU00407,237,6,7,74
SKU00408,363,30,9,71
SKU00409,443,31,13,82
SKU00410,207,38,4,31
SKU00411,255,76,9,95
SKU00412,273,12,13,46
SKU00413,409,94,4,89
SKU00414,497,87,5,99
SKU00415,463,70,12,92
SKU00416,461,59,7,51
SKU00417,245,19,6,97
SKU00418,268,63,3,41
SKU00419,455,16,12,94
SKU00420,71,89,10,79
SKU00421,319,63,6,81
SKU00422,430,75,9,58
SKU00423,444,32,8,61
SKU00424,484,74,12,55
SKU00425,479,97,6,42
SKU00426,88,14,9,58
SKU00427,206,74,6,61
SKU00428,179,46,6,51
SKU00429,76,66,3,85
SKU00430,141,92,7,76
SKU00431,406,58,6,35
SKU00432,196,56,7,32
SKU00433,306,57,8,44
SKU00434,211,60,5,93
SKU00435,330,23,4,44
SKU00436,257,26,10,89
SKU00437,479,88,3,82
SKU00438,57,78,13,75
SKU00439,99,70,5,93
SKU00440,477,52,10,89
SKU00441,427,2,6,75
SKU00442,64,24,9,46
SKU00443,431,83,6,38
SKU00444,215,47,11,89
SKU00445,368,85,8,31
SKU00446,393,71,13,93
SKU00447,254,80,10,50
SKU00448,323,93,4,67
SKU00449,81,10,11,62
SKU00450,151,40,10,40
SKU00451,263,50,10,70
SKU00452,450,75,11,75
SKU00453,209,78,8,49
SKU00454,210,73,10,61
SKU00455,291,96,4,62
SKU00456,282,76,3,55
SKU00457,455,65,8,75
SKU00458,171,14,4,73
SKU00459,354,74,5,35
SKU00460,58,5,11,61
SKU00461,90,75,10,79
SKU00462,397,61,6,91
SKU00463,160,6,13,33
SKU00464,439,57,8,55
SKU00465,432,2,11,89
SKU00466,411,13,13,41
SKU00467,136,11,11,74
SKU00468,292,18,9,74
SKU00469,441,92,9,82
SKU00470,232,31,5,73
SKU00471,131,69,4,51
SKU00472,86,95,10,88
SKU00473,180,27,12,64
SKU00474,494,92,8,92
SKU00475,256,96,9,78
SKU00476,399,84,12,90
SKU00477,73,19,7,33
SKU00478,269,19,10,79
SKU00479,226,50,11,65
SKU00480,299,97,6,95
SKU00481,384,33,6,35
SKU00482,344,41,5,87
SKU00483,295,11,5,47
SKU00484,89,20,3,55
SKU00485,57,99,9,71
SKU00486,477,13,4,66
SKU00487,374,37,11,91
SKU00488,365,13,10,31
SKU00489,280,69,3,57
SKU00490,115,34,7,34
SKU00491,498,39,10,65
SKU00492,350,22,13,39
SKU00493,244,13,12,39
SKU00494,381,93,11,30
SKU00495,182,19,10,72
SKU00496,50,56,8,57
SKU00497,170,36,7,66
SKU00498,354,43,10,57
SKU00499,416,78,8,90
SKU00500,453,77,4,66
SKU00501,69,25,3,64
SKU00502,247,58,7,62
SKU00503,228,77,12,49
SKU00504,230,87,13,72
SKU00505,175,97,11,79
SKU00506,334,56,9,85
SKU00507,476,49,9,73
SKU00508,343,83,9,74
SKU00509,357,79,4,37
SKU00510,390,0,9,37
SKU00511,206,95,8,34
SKU00512,135,46,4,94
SKU00513,360,89,13,59
SKU00514,163,81,3,55
SKU00515,185,46,10,75
SKU00516,338,0,5,60
SKU00517,191,52,7,91
SKU00518,269,65,4,93
SKU00519,112,72,3,70
SKU00520,138,47,11,60
SKU00521,373,97,8,33
SKU00522,151,18,8,42
SKU00523,328,82,13,30
SKU00524,393,53,9,44
SKU00525,114,75,12,44
SKU00526,454,18,11,62
SKU00527,354,95,3,64
SKU00528,477,89,13,95
SKU00529,479,8,5,55
SKU00530,377,47,4,99
SKU00531,461,92,12,54
SKU00532,61,4,4,77
SKU00533,342,78,6,44
SKU00534,92,47,9,99
SKU00535,351,42,7,52
SKU00536,156,79,7,44
SKU00537,330,35,13,80
SKU00538,320,67,7,42
SKU00539,324,33,6,81
SKU00540,76,28,5,37
SKU00541,193,35,4,31
SKU00542,482,76,6,36
SKU00543,400,73,9,42
SKU00544,208,70,10,71
SKU00545,494,41,10,65
SKU00546,133,67,8,36
SKU00547,359,0,10,74
SKU00548,411,46,13,42
SKU00549,424,21,8,50
SKU00550,263,91,11,55
SKU00551,58,14,12,71
SKU00552,121,23,3,55
SKU00553,396,36,6,79
SKU00554,201,18,6,89
SKU00555,216,73,11,47
SKU00556,452,35,12,84
SKU00557,291,68,3,62
SKU00558,168,20,3,51
SKU00559,481,36,5,61
SKU00560,60,9,11,86
SKU00561,303,24,4,93
SKU00562,340,6,7,47
SKU00563,372,41,8,68
SKU00564,474,74,9,53
SKU00565,237,45,5,97
SKU00566,267,41,9,65
SKU00567,281,96,6,32
SKU00568,122,7,3,99
SKU00569,474,67,3,89
SKU00570,179,59,7,73
SKU00571,76,31,7,37
SKU00572,279,71,4,96
SKU00573,349,57,5,99
SKU00574,179,86,4,64
SKU00575,403,86,6,37
SKU00576,199,43,12,65
SKU00577,382,92,11,84
SKU00578,257,61,11,84
SKU00579,449,11,3,45
SKU00580,445,7,6,32
SKU00581,193,29,9,34
SKU00582,409,64,11,59
SKU00583,198,83,8,51
SKU00584,280,31,3,45
SKU00585,87,97,6,52
SKU00586,163,65,11,31
SKU00587,298,72,3,96
SKU00588,229,61,9,55
SKU00589,245,81,9,35
SKU00590,468,21,13,44
SKU00591,391,59,7,41
SKU00592,288,48,12,67
SKU00593,131,44,5,59
SKU00594,265,29,8,96
SKU00595,385,6,6,43
SKU00596,122,14,7,64
SKU00597,115,90,4,64
SKU00598,255,19,4,39
SKU00599,74,65,11,83
SKU00600,338,35,3,83
SKU00601,287,51,5,70
SKU00602,439,24,7,37
SKU00603,454,97,6,54
SKU00604,128,67,6,47
SKU00605,365,62,8,61
SKU00606,398,42,4,89
SKU00607,200,82,5,34
SKU00608,467,9,11,31
SKU00609,431,10,4,60
SKU00610,105,78,11,38
SKU00611,148,20,11,57
SKU00612,239,6,3,33
SKU00613,309,39,3,81
SKU00614,270,51,6,67
SKU00615,280,49,7,92
SKU00616,111,98,9,56
SKU00617,141,85,9,34
SKU00618,232,1,13,50
SKU00619,295,78,7,39
SKU00620,363,38,7,94
SKU00621,62,84,12,82
SKU00622,387,44,6,89
SKU00623,444,62,7,81
SKU00624,305,54,7,55
SKU00625,245,33,6,81
SKU00626,462,37,12,50
SKU00627,91,12,3,93
SKU00628,66,8,11,30
SKU00629,179,59,3,39
SKU00630,291,57,10,50
SKU00631,333,74,9,63
SKU00632,313,58,8,78
SKU00633,128,16,9,74
SKU00634,118,31,3,37
SKU00635,382,71,11,72
SKU00636,434,50,10,53
SKU00637,66,4,6,50
SKU00638,281,57,6,40
SKU00639,485,14,5,36
SKU00640,77,50,13,87
SKU00641,310,4,8,37
SKU00642,369,9,8,37
SKU00643,305,24,11,95
SKU00644,483,66,3,65
SKU00645,431,67,11,70
SKU00646,266,61,4,39
SKU00647,198,35,13,31
SKU00648,423,12,7,61
SKU00649,400,15,4,40
SKU00650,59,14,3,69
SKU00651,451,54,11,54
SKU00652,364,77,12,51
SKU00653,463,83,7,73
SKU00654,337,50,3,50
SKU00655,171,31,9,68
SKU00656,317,46,4,50
SKU00657,446,20,10,75
SKU00658,409,6,9,51
SKU00659,284,88,8,58
SKU00660,318,81,4,58
SKU00661,262,78,6,56
SKU00662,99,94,5,52
SKU00663,137,43,8,72
SKU00664,470,60,3,85
SKU00665,52,62,8,48
SKU00666,72,28,9,54
SKU00667,177,7,12,87
SKU00668,193,71,3,34
SKU00669,52,64,6,93
SKU00670,411,97,13,39
SKU00671,454,45,9,56
SKU00672,115,40,11,65
SKU00673,135,89,12,83
SKU00674,61,80,11,63
SKU00675,486,19,13,45
SKU00676,292,94,9,99
SKU00677,361,82,7,87
SKU00678,181,3,6,39
SKU00679,73,98,12,66
SKU00680,279,84,8,50
SKU00681,251,37,6,89
SKU00682,106,44,6,46
SKU00683,168,70,6,43
SKU00684,52,87,7,87
SKU00685,104,3,10,53
SKU00686,211,29,4,48
SKU00687,208,59,5,78
SKU00688,368,82,8,53
SKU00689,158,75,12,60
SKU00690,405,63,5,77
SKU00691,222,99,9,84
SKU00692,195,62,6,76
SKU00693,362,44,3,46
SKU00694,247,3,6,76
SKU00695,448,69,13,38
SKU00696,139,15,7,90
SKU00697,187,49,5,99
SKU00698,386,50,7,48
SKU00699,475,34,12,98
SKU00700,398,63,7,78
SKU00701,454,73,7,99
SKU00702,139,3,9,68
SKU00703,468,0,10,86
SKU00704,149,69,11,83
SKU00705,223,59,11,60
SKU00706,133,23,11,65
SKU00707,262,29,10,59
SKU00708,391,91,9,64
SKU00709,488,91,10,39
SKU00710,385,15,8,99
SKU00711,93,72,6,85
SKU00712,156,83,4,86
SKU00713,70,67,4,62
SKU00714,56,69,4,61
SKU00715,297,74,6,44
SKU00716,481,70,7,71
SKU00717,203,13,11,66
SKU00718,363,20,4,98
SKU00719,180,86,12,66
SKU00720,354,18,5,41
SKU00721,494,40,3,79
SKU00722,166,67,12,62
SKU00723,130,23,4,57
SKU00724,491,42,11,68
SKU00725,135,48,3,99
SKU00726,247,97,3,34
SKU00727,51,21,11,95
SKU00728,379,97,5,68
SKU00729,135,75,10,69
SKU00730,343,59,13,39
SKU00731,148,63,5,92
SKU00732,98,63,9,50
SKU00733,69,25,6,44
SKU00734,425,84,8,43
SKU00735,460,39,12,57
SKU00736,75,62,4,54
SKU00737,297,2,10,73
SKU00738,146,41,6,35
SKU00739,216,51,9,79
SKU00740,476,18,7,80
SKU00741,316,11,12,37
SKU00742,457,91,11,65
SKU00743,134,71,9,38
SKU00744,96,14,10,71
SKU00745,365,83,8,41
SKU00746,435,6,5,32
SKU00747,332,39,8,62
SKU00748,269,0,9,37
SKU00749,150,31,13,33
SKU00750,415,18,11,41
SKU00751,444,45,9,45
SKU00752,178,62,9,50
SKU00753,207,12,4,33
SKU00754,461,94,13,56
SKU00755,374,24,5,97
SKU00756,330,19,4,55
SKU00757,431,4,5,90
SKU00758,314,49,8,89
SKU00759,477,10,4,76
SKU00760,413,72,7,32
SKU00761,125,91,12,50
SKU00762,205,89,3,64
SKU00763,229,33,11,80
SKU00764,480,81,12,86
SKU00765,328,47,8,46
SKU00766,374,10,13,64
SKU00767,338,83,4,95
SKU00768,473,27,9,99
SKU00769,250,19,3,92
SKU00770,116,3,12,54
SKU00771,352,37,7,86
SKU00772,166,52,6,43
SKU00773,450,38,11,35
SKU00774,300,90,9,88
SKU00775,140,97,10,75
SKU00776,87,13,6,91
SKU00777,84,18,13,54
SKU00778,473,87,12,51
SKU00779,481,82,5,32
SKU00780,475,18,11,57
SKU00781,222,70,11,48
SKU00782,480,13,10,67
SKU00783,486,60,6,69
SKU00784,335,8,3,81
SKU00785,138,13,13,82
SKU00786,276,58,11,97
SKU00787,117,91,10,31
SKU00788,410,85,11,84
SKU00789,65,92,3,77
SKU00790,207,11,5,40
SKU00791,113,49,7,50
SKU00792,374,47,6,96
SKU00793,221,32,7,90
SKU00794,442,67,5,94
SKU00795,57,44,9,76
SKU00796,473,75,8,75
SKU00797,96,14,11,48
SKU00798,75,51,8,50
SKU00799,356,37,6,58
SKU00800,228,3,9,57
SKU00801,309,21,5,95
SKU00802,211,90,9,30
SKU00803,121,86,8,35
SKU00804,263,24,4,46
SKU00805,110,11,8,56
SKU00806,185,82,12,94
SKU00807,490,92,3,69
SKU00808,191,34,6,85
SKU00809,226,12,8,78
SKU00810,351,61,10,72
SKU00811,453,96,12,68
SKU00812,390,48,12,83
SKU00813,431,8,10,66
SKU00814,354,40,3,50
SKU00815,356,58,9,84
SKU00816,90,38,13,48
SKU00817,444,76,3,69
SKU00818,157,18,10,90
SKU00819,158,11,3,74
SKU00820,139,91,12,98
SKU00821,57,24,13,75
SKU00822,392,29,9,78
SKU00823,224,83,4,47
SKU00824,499,67,3,65
SKU00825,131,18,10,44
SKU00826,90,38,4,92
SKU00827,334,73,4,80
SKU00828,380,76,12,43
SKU00829,259,50,8,68
SKU00830,77,2,6,99
SKU00831,204,1,8,32
SKU00832,449,93,10,31
SKU00833,130,40,5,94
SKU00834,360,44,12,91
SKU00835,98,94,11,52
SKU00836,457,37,7,83
SKU00837,156,17,6,74
SKU00838,424,72,7,59
SKU00839,237,97,5,96
SKU00840,205,43,11,92
SKU00841,72,74,12,86
SKU00842,167,99,3,53
SKU00843,216,33,10,57
SKU00844,470,6,6,66
SKU00845,105,64,3,76
SKU00846,197,18,12,89
SKU00847,451,91,5,72
SKU00848,175,10,3,67
SKU00849,113,68,10,63
SKU00850,225,55,8,94
SKU00851,80,3,3,79
SKU00852,374,29,10,88
SKU00853,116,74,6,55
SKU00854,204,45,8,93
SKU00855,283,50,4,35
SKU00856,364,14,7,59
SKU00857,475,36,12,64
SKU00858,136,5,6,47
SKU00859,250,28,13,76
SKU00860,175,16,8,97
SKU00861,118,36,11,78
SKU00862,446,33,8,82
SKU00863,428,86,5,32
SKU00864,91,97,5,75
SKU00865,432,20,13,97
SKU00866,434,91,10,42
SKU00867,160,97,13,80
SKU00868,322,98,4,53
SKU00869,299,18,7,37
SKU00870,333,4,3,65
SKU00871,423,18,13,40
SKU00872,359,44,8,50
SKU00873,295,10,9,34
SKU00874,233,19,11,75
SKU00875,61,69,3,48
SKU00876,203,47,6,99
SKU00877,232,99,8,62
SKU00878,495,87,9,44
SKU00879,460,74,11,80
SKU00880,486,77,13,80
SKU00881,224,3,9,64
SKU00882,97,72,10,74
SKU00883,386,80,3,48
SKU00884,112,37,5,88
SKU00885,374,12,9,51
SKU00886,398,85,13,96
SKU00887,103,9,12,93
SKU00888,175,20,4,70
SKU00889,201,34,10,59
SKU00890,106,93,5,48
SKU00891,419,7,12,59
SKU00892,184,66,3,65
SKU00893,74,36,3,44
SKU00894,86,12,10,37
SKU00895,438,59,11,30
SKU00896,213,34,4,92
SKU00897,153,22,11,63
SKU00898,479,77,6,59
SKU00899,407,74,5,32
SKU00900,447,59,4,74
SKU00901,110,82,13,45
SKU00902,115,39,3,63
SKU00903,283,15,8,89
SKU00904,371,65,12,42
SKU00905,233,30,4,68
SKU00906,441,86,10,84
SKU00907,76,92,9,82
SKU00908,344,64,3,59
SKU00909,486,12,7,48
SKU00910,102,18,11,54
SKU00911,263,30,3,84
SKU00912,72,31,12,39
SKU00913,103,51,6,61
SKU00914,419,13,4,57
SKU00915,415,52,10,51
SKU00916,79,62,6,88
SKU00917,313,81,9,60
SKU00918,339,81,10,78
SKU00919,128,56,3,55
SKU00920,323,95,8,67
SKU00921,258,86,10,79
SKU00922,313,40,8,98
SKU00923,477,63,13,94
SKU00924,156,18,11,56
SKU00925,211,43,6,44
SKU00926,356,12,5,78
SKU00927,247,55,5,66
SKU00928,450,57,9,58
SKU00929,466,59,13,84
SKU00930,443,46,9,50
SKU00931,284,12,7,62
SKU00932,73,10,3,97
SKU00933,480,24,11,50
SKU00934,389,82,5,41
SKU00935,342,41,3,77
SKU00936,408,27,11,76
SKU00937,195,77,5,42
SKU00938,259,12,6,60
SKU00939,435,15,11,67
SKU00940,359,55,8,74
SKU00941,286,33,11,37
SKU00942,312,35,4,32
SKU00943,77,69,7,57
SKU00944,359,53,3,50
SKU00945,301,98,11,78
SKU00946,167,53,12,82
SKU00947,93,46,7,75
SKU00948,62,36,8,53
SKU00949,307,85,3,43
SKU00950,187,34,11,32
SKU00951,160,16,8,53
SKU00952,78,42,11,89
SKU00953,395,64,6,57
SKU00954,321,46,3,87
SKU00955,332,52,12,88
SKU00956,224,93,11,63
SKU00957,470,5,9,54
SKU00958,82,54,12,36
SKU00959,293,56,13,36
SKU00960,277,50,11,61
SKU00961,380,7,3,74
SKU00962,263,58,6,96
SKU00963,462,28,4,57
SKU00964,254,78,9,73
SKU00965,267,3,12,38
SKU00966,168,4,10,79
SKU00967,380,14,8,46
SKU00968,108,89,9,86
SKU00969,75,24,12,74
SKU00970,388,10,7,97
SKU00971,400,27,13,94
SKU00972,98,46,6,83
SKU00973,237,56,11,75
SKU00974,291,25,3,34
SKU00975,133,51,11,83
SKU00976,210,49,8,56
SKU00977,275,14,12,50
SKU00978,95,68,8,67
SKU00979,111,85,4,75
SKU00980,446,94,5,35
SKU00981,142,7,13,62
SKU00982,258,74,4,40
SKU00983,400,27,8,70
SKU00984,321,67,5,77
SKU00985,233,63,13,91
SKU00986,381,10,7,47
SKU00987,68,86,9,55
SKU00988,439,3,5,58
SKU00989,108,97,3,72
SKU00990,294,79,4,63
SKU00991,296,7,12,37
SKU00992,401,99,3,72
SKU00993,88,80,13,73
SKU00994,186,36,12,65
SKU00995,150,91,12,72
