SKU,Current_Stock,Forecast,Category
SKU00114,125,25.0,Home & Garden
SKU00115,334,10.0,Books
SKU00116,143,15.0,Automotive
SKU00117,253,20.0,Health
SKU00118,390,25.0,Toys
SKU00119,303,12.0,Books
SKU00120,299,30.0,Books
SKU00121,149,8.0,Health
SKU00122,299,15.0,Automotive
SKU00123,374,20.0,Electronics
SKU00124,433,25.0,Books
SKU00125,445,12.0,Books
SKU00126,466,10.0,Books
SKU00127,150,15.0,Books
SKU00128,466,20.0,Health
SKU00129,93,25.0,Electronics
SKU00130,264,8.0,Beauty
SKU00131,142,30.0,Sports
SKU00132,164,12.0,Electronics
SKU00133,163,10.0,Books
SKU00134,266,25.0,Beauty
SKU00135,443,15.0,Clothing
SKU00136,276,20.0,Food
SKU00137,145,12.0,Health
SKU00138,273,25.0,Home & Garden
SKU00139,62,8.0,Books
SKU00140,322,30.0,Beauty
SKU00141,236,15.0,Automotive
SKU00142,494,20.0,Beauty
SKU00143,255,25.0,Sports
SKU00144,422,12.0,Beauty
SKU00145,74,10.0,Electronics
SKU00146,200,15.0,Home & Garden
SKU00147,158,20.0,Sports
SKU00148,472,25.0,Home & Garden
SKU00149,212,30.0,Automotive
SKU00150,288,8.0,Sports
SKU00151,450,12.0,Books
SKU00152,442,20.0,Sports
SKU00153,54,25.0,Food
SKU00154,388,10.0,Books
SKU00155,376,15.0,Health
SKU00156,119,20.0,Clothing
SKU00157,413,25.0,Health
SKU00158,88,8.0,Food
SKU00159,197,30.0,Automotive
SKU00160,432,12.0,Books
SKU00161,397,15.0,Beauty
SKU00162,418,20.0,Sports
SKU00163,471,25.0,Sports
SKU00164,222,8.0,Home & Garden
SKU00165,276,30.0,Health
SKU00166,451,12.0,Home & Garden
SKU00167,63,20.0,Health
SKU00168,423,15.0,Automotive
SKU00169,61,25.0,Automotive
SKU00170,205,8.0,Beauty
SKU00171,139,12.0,Health
SKU00172,227,30.0,Books
SKU00173,277,15.0,Books
SKU00174,194,20.0,Automotive
SKU00175,446,25.0,Electronics
SKU00176,131,8.0,Food
SKU00177,59,30.0,Beauty
SKU00178,168,12.0,Books
SKU00179,195,20.0,Health
SKU00180,390,25.0,Books
SKU00181,332,8.0,Toys
SKU00182,454,15.0,Books
SKU00183,400,10.0,Home & Garden
SKU00184,486,30.0,Books
SKU00185,214,12.0,Beauty
SKU00186,134,25.0,Books
SKU00187,100,20.0,Electronics
SKU00188,498,8.0,Books
SKU00189,203,30.0,Electronics
SKU00190,428,12.0,Home & Garden
SKU00191,285,15.0,Food
SKU00192,450,20.0,Books
SKU00193,115,25.0,Books
SKU00194,241,8.0,Home & Garden
SKU00195,147,30.0,Electronics
SKU00196,496,12.0,Electronics
SKU00197,384,20.0,Beauty
SKU00198,130,25.0,Toys
SKU00199,233,8.0,Electronics
SKU00200,389,30.0,Automotive
SKU00201,311,12.0,Food
SKU00202,289,15.0,Clothing
SKU00203,232,20.0,Clothing
SKU00204,57,25.0,Home & Garden
SKU00205,233,8.0,Toys
SKU00206,204,30.0,Food
SKU00207,171,12.0,Sports
SKU00208,54,15.0,Electronics
SKU00209,71,20.0,Clothing
SKU00210,182,25.0,Home & Garden
SKU00211,83,8.0,Toys
SKU00212,460,30.0,Sports
SKU00213,170,12.0,Home & Garden
SKU00214,97,25.0,Health
SKU00215,341,20.0,Clothing
SKU00216,256,15.0,Books
SKU00217,77,25.0,Health
SKU00218,414,8.0,Health
SKU00219,420,30.0,Automotive
SKU00220,287,12.0,Beauty
SKU00221,276,15.0,Electronics
SKU00222,251,20.0,Electronics
SKU00223,280,25.0,Beauty
SKU00224,74,8.0,Food
SKU00225,117,30.0,Health
SKU00226,160,12.0,Food
SKU00227,160,20.0,Clothing
SKU00228,474,15.0,Automotive
SKU00229,369,25.0,Food
SKU00230,364,8.0,Health
SKU00231,486,30.0,Sports
SKU00232,119,12.0,Automotive
SKU00233,367,15.0,Toys
SKU00234,186,20.0,Electronics
SKU00235,89,25.0,Books
SKU00236,371,8.0,Clothing
SKU00237,384,30.0,Toys
SKU00238,111,12.0,Toys
SKU00239,75,25.0,Sports
SKU00240,459,20.0,Beauty
SKU00241,162,15.0,Home & Garden
SKU00242,369,8.0,Beauty
SKU00243,405,30.0,Sports
SKU00244,210,12.0,Beauty
SKU00245,310,25.0,Clothing
SKU00246,435,20.0,Home & Garden
SKU00247,133,15.0,Health
SKU00248,314,8.0,Electronics
SKU00249,468,30.0,Electronics
SKU00250,367,12.0,Books
SKU00251,467,25.0,Home & Garden
SKU00252,50,20.0,Health
SKU00253,369,15.0,Clothing
SKU00254,410,8.0,Electronics
SKU00255,54,30.0,Automotive
SKU00256,111,12.0,Food
SKU00257,138,15.0,Books
SKU00258,153,20.0,Books
SKU00259,402,25.0,Home & Garden
SKU00260,194,8.0,Toys
SKU00261,358,30.0,Automotive
SKU00262,247,12.0,Home & Garden
SKU00263,228,15.0,Health
SKU00264,64,20.0,Health
SKU00265,469,25.0,Food
SKU00266,146,8.0,Toys
SKU00267,303,30.0,Electronics
SKU00268,59,12.0,Food
SKU00269,446,15.0,Beauty
SKU00270,233,20.0,Toys
SKU00271,206,25.0,Health
SKU00272,179,8.0,Electronics
SKU00273,341,30.0,Sports
SKU00274,118,12.0,Books
SKU00275,183,15.0,Sports
SKU00276,395,20.0,Health
SKU00277,267,25.0,Sports
SKU00278,259,8.0,Beauty
SKU00279,220,30.0,Clothing
SKU00280,182,12.0,Sports
SKU00281,427,15.0,Books
SKU00282,78,20.0,Beauty
SKU00283,263,25.0,Health
SKU00284,351,8.0,Beauty
SKU00285,231,30.0,Beauty
SKU00286,368,12.0,Sports
SKU00287,448,15.0,Books
SKU00288,186,20.0,Health
SKU00289,166,25.0,Beauty
SKU00290,112,8.0,Electronics
SKU00291,435,30.0,Sports
SKU00292,396,12.0,Toys
SKU00293,413,15.0,Books
SKU00294,74,20.0,Health
SKU00295,393,25.0,Automotive
SKU00296,112,8.0,Health
SKU00297,419,30.0,Clothing
SKU00298,197,12.0,Home & Garden
SKU00299,376,15.0,Sports
SKU00300,428,20.0,Electronics
SKU00301,81,25.0,Health
SKU00302,335,8.0,Food
SKU00303,67,30.0,Sports
SKU00304,243,12.0,Beauty
SKU00305,484,15.0,Food
SKU00306,313,20.0,Electronics
SKU00307,337,25.0,Beauty
SKU00308,429,8.0,Home & Garden
SKU00309,337,30.0,Electronics
SKU00310,370,12.0,Sports
SKU00311,492,15.0,Food
SKU00312,100,20.0,Home & Garden
SKU00313,340,25.0,Food
SKU00314,169,12.0,Food
SKU00315,214,20.0,Food
SKU00316,272,8.0,Beauty
SKU00317,379,25.0,Home & Garden
SKU00318,134,15.0,Beauty
SKU00319,334,30.0,Beauty
SKU00320,434,12.0,Sports
SKU00321,60,20.0,Food
SKU00322,69,25.0,Food
SKU00323,305,8.0,Home & Garden
SKU00324,477,30.0,Clothing
SKU00325,130,12.0,Health
SKU00326,264,15.0,Food
SKU00327,58,20.0,Toys
SKU00328,408,25.0,Books
SKU00329,284,8.0,Toys
SKU00330,78,30.0,Beauty
SKU00331,124,12.0,Electronics
SKU00332,405,15.0,Automotive
SKU00333,66,20.0,Food
SKU00334,362,25.0,Sports
SKU00335,147,8.0,Clothing
SKU00336,443,30.0,Clothing
SKU00337,239,12.0,Automotive
SKU00338,412,15.0,Automotive
SKU00339,341,20.0,Books
SKU00340,345,25.0,Automotive
SKU00341,344,8.0,Clothing
SKU00342,160,30.0,Food
SKU00343,118,12.0,Books
SKU00344,288,15.0,Clothing
SKU00345,414,20.0,Home & Garden
SKU00346,499,25.0,Books
SKU00347,66,8.0,Sports
SKU00348,476,30.0,Home & Garden
SKU00349,340,12.0,Beauty
SKU00350,484,15.0,Electronics
SKU00351,324,20.0,Home & Garden
SKU00352,494,25.0,Clothing
SKU00353,360,30.0,Automotive
SKU00354,198,12.0,Automotive
SKU00355,249,15.0,Automotive
SKU00356,192,20.0,Books
SKU00357,96,25.0,Toys
SKU00358,248,8.0,Electronics
SKU00359,135,30.0,Food
SKU00360,186,12.0,Beauty
SKU00361,264,15.0,Electronics
SKU00362,451,20.0,Toys
SKU00363,63,25.0,Health
SKU00364,350,8.0,Health
SKU00365,220,30.0,Health
SKU00366,413,12.0,Books
SKU00367,398,15.0,Beauty
SKU00368,259,20.0,Clothing
SKU00369,360,25.0,Home & Garden
SKU00370,463,8.0,Electronics
SKU00371,145,30.0,Clothing
SKU00372,351,12.0,Health
SKU00373,294,15.0,Beauty
SKU00374,463,20.0,Automotive
SKU00375,114,25.0,Health
SKU00376,478,8.0,Home & Garden
SKU00377,373,30.0,Food
SKU00378,481,12.0,Home & Garden
SKU00379,354,15.0,Electronics
SKU00380,236,20.0,Automotive
SKU00381,429,25.0,Automotive
SKU00382,368,8.0,Food
SKU00383,111,30.0,Electronics
SKU00384,248,12.0,Clothing
SKU00385,121,15.0,Automotive
SKU00386,267,20.0,Automotive
SKU00387,425,25.0,Sports
SKU00388,103,8.0,Books
SKU00389,58,30.0,Beauty
SKU00390,428,12.0,Clothing
SKU00391,194,15.0,Beauty
SKU00392,276,20.0,Books
SKU00393,447,25.0,Clothing
SKU00394,372,8.0,Health
SKU00395,458,30.0,Books
SKU00396,89,12.0,Automotive
SKU00397,492,15.0,Health
SKU00398,377,20.0,Electronics
SKU00399,86,25.0,Toys
SKU00400,350,8.0,Automotive
SKU00401,372,30.0,Clothing
SKU00402,396,12.0,Automotive
SKU00403,265,15.0,Health
SKU00404,108,20.0,Books
SKU00405,412,25.0,Toys
SKU00406,219,8.0,Health
SKU00407,237,30.0,Books
SKU00408,363,12.0,Home & Garden
SKU00409,443,15.0,Clothing
SKU00410,207,20.0,Electronics
SKU00411,255,25.0,Beauty
SKU00412,273,8.0,Automotive
SKU00413,409,30.0,Books
SKU00414,497,12.0,Toys
SKU00415,463,15.0,Health
SKU00416,461,20.0,Health
SKU00417,245,25.0,Food
SKU00418,268,8.0,Food
SKU00419,455,30.0,Electronics
SKU00420,71,12.0,Clothing
SKU00421,319,15.0,Home & Garden
SKU00422,430,20.0,Food
SKU00423,444,25.0,Books
SKU00424,484,8.0,Sports
SKU00425,479,30.0,Electronics
SKU00426,88,12.0,Toys
SKU00427,206,15.0,Clothing
SKU00428,179,20.0,Sports
SKU00429,76,25.0,Food
SKU00430,141,8.0,Home & Garden
SKU00431,406,30.0,Clothing
SKU00432,196,12.0,Electronics
SKU00433,306,15.0,Food
SKU00434,211,20.0,Clothing
SKU00435,330,25.0,Home & Garden
SKU00436,257,8.0,Books
SKU00437,479,30.0,Sports
SKU00438,57,12.0,Home & Garden
SKU00439,99,15.0,Toys
SKU00440,477,20.0,Electronics
SKU00441,427,25.0,Beauty
SKU00442,64,8.0,Books
SKU00443,431,30.0,Clothing
SKU00444,215,12.0,Books
SKU00445,368,15.0,Sports
SKU00446,393,20.0,Food
SKU00447,254,25.0,Sports
SKU00448,323,8.0,Toys
SKU00449,81,30.0,Beauty
SKU00450,151,12.0,Electronics
SKU00451,263,15.0,Clothing
SKU00452,450,20.0,Automotive
SKU00453,209,25.0,Beauty
SKU00454,210,8.0,Automotive
SKU00455,291,30.0,Toys
SKU00456,282,12.0,Health
SKU00457,455,15.0,Electronics
SKU00458,171,20.0,Electronics
SKU00459,354,25.0,Food
SKU00460,58,8.0,Health
SKU00461,90,30.0,Food
SKU00462,397,12.0,Home & Garden
SKU00463,160,15.0,Automotive
SKU00464,439,20.0,Clothing
SKU00465,432,25.0,Sports
SKU00466,411,8.0,Food
SKU00467,136,30.0,Toys
SKU00468,292,12.0,Home & Garden
SKU00469,441,15.0,Clothing
SKU00470,232,20.0,Automotive
SKU00471,131,25.0,Food
SKU00472,86,8.0,Food
SKU00473,180,30.0,Clothing
SKU00474,494,12.0,Books
SKU00475,256,15.0,Home & Garden
SKU00476,399,20.0,Toys
SKU00477,73,25.0,Electronics
SKU00478,269,8.0,Beauty
SKU00479,226,30.0,Sports
SKU00480,299,12.0,Home & Garden
SKU00481,384,15.0,Books
SKU00482,344,20.0,Clothing
SKU00483,295,25.0,Home & Garden
SKU00484,89,8.0,Home & Garden
SKU00485,57,30.0,Electronics
SKU00486,477,12.0,Food
SKU00487,374,15.0,Clothing
SKU00488,365,20.0,Automotive
SKU00489,280,25.0,Beauty
SKU00490,115,8.0,Food
SKU00491,498,30.0,Automotive
SKU00492,350,12.0,Books
SKU00493,244,15.0,Beauty
SKU00494,381,20.0,Health
SKU00495,182,25.0,Health
SKU00496,50,8.0,Automotive
SKU00497,170,30.0,Electronics
SKU00498,354,12.0,Automotive
SKU00499,416,15.0,Books
SKU00500,453,20.0,Beauty
SKU00501,69,25.0,Sports
SKU00502,247,8.0,Books
SKU00503,228,30.0,Food
SKU00504,230,12.0,Books
SKU00505,175,15.0,Health
SKU00506,334,20.0,Clothing
SKU00507,476,25.0,Food
SKU00508,343,8.0,Clothing
SKU00509,357,30.0,Food
SKU00510,390,12.0,Clothing
SKU00511,206,15.0,Clothing
SKU00512,135,20.0,Toys
SKU00513,360,25.0,Clothing
SKU00514,163,8.0,Health
SKU00515,185,30.0,Health
SKU00516,338,12.0,Beauty
SKU00517,191,15.0,Electronics
SKU00518,269,20.0,Books
SKU00519,112,25.0,Clothing
SKU00520,138,8.0,Automotive
SKU00521,373,30.0,Automotive
SKU00522,151,12.0,Sports
SKU00523,328,15.0,Sports
SKU00524,393,20.0,Clothing
SKU00525,114,25.0,Electronics
SKU00526,454,8.0,Automotive
SKU00527,354,30.0,Health
SKU00528,477,12.0,Automotive
SKU00529,479,15.0,Home & Garden
SKU00530,377,20.0,Home & Garden
SKU00531,461,25.0,Clothing
SKU00532,61,8.0,Health
SKU00533,342,30.0,Books
SKU00534,92,12.0,Books
SKU00535,351,15.0,Sports
SKU00536,156,20.0,Toys
SKU00537,330,25.0,Books
SKU00538,320,8.0,Books
SKU00539,324,30.0,Home & Garden
SKU00540,76,12.0,Toys
SKU00541,193,15.0,Sports
SKU00542,482,20.0,Home & Garden
SKU00543,400,25.0,Clothing
SKU00544,208,8.0,Health
SKU00545,494,30.0,Health
SKU00546,133,12.0,Beauty
SKU00547,359,15.0,Beauty
SKU00548,411,20.0,Food
SKU00549,424,25.0,Health
SKU00550,263,8.0,Toys
SKU00551,58,30.0,Automotive
SKU00552,121,12.0,Beauty
SKU00553,396,15.0,Beauty
SKU00554,201,20.0,Books
SKU00555,216,25.0,Sports
SKU00556,452,8.0,Clothing
SKU00557,291,30.0,Food
SKU00558,168,12.0,Home & Garden
SKU00559,481,15.0,Books
SKU00560,60,20.0,Home & Garden
SKU00561,303,25.0,Health
SKU00562,340,8.0,Automotive
SKU00563,372,30.0,Home & Garden
SKU00564,474,12.0,Health
SKU00565,237,15.0,Electronics
SKU00566,267,20.0,Home & Garden
SKU00567,281,25.0,Food
SKU00568,122,8.0,Books
SKU00569,474,30.0,Beauty
SKU00570,179,12.0,Food
SKU00571,76,15.0,Clothing
SKU00572,279,20.0,Books
SKU00573,349,25.0,Home & Garden
SKU00574,179,8.0,Home & Garden
SKU00575,403,30.0,Clothing
SKU00576,199,12.0,Food
SKU00577,382,15.0,Health
SKU00578,257,20.0,Automotive
SKU00579,449,25.0,Automotive
SKU00580,445,8.0,Beauty
SKU00581,193,30.0,Food
SKU00582,409,12.0,Books
SKU00583,198,15.0,Electronics
SKU00584,280,20.0,Toys
SKU00585,87,25.0,Electronics
SKU00586,163,8.0,Sports
SKU00587,298,30.0,Electronics
SKU00588,229,12.0,Automotive
SKU00589,245,15.0,Automotive
SKU00590,468,20.0,Food
SKU00591,391,25.0,Toys
SKU00592,288,8.0,Toys
SKU00593,131,30.0,Electronics
SKU00594,265,12.0,Home & Garden
SKU00595,385,15.0,Toys
SKU00596,122,20.0,Automotive
SKU00597,115,25.0,Clothing
SKU00598,255,8.0,Clothing
SKU00599,74,30.0,Automotive
SKU00600,338,12.0,Electronics
SKU00601,287,15.0,Sports
SKU00602,439,20.0,Automotive
SKU00603,454,25.0,Books
SKU00604,128,8.0,Sports
SKU00605,365,30.0,Sports
SKU00606,398,12.0,Toys
SKU00607,200,15.0,Clothing
SKU00608,467,20.0,Home & Garden
SKU00609,431,25.0,Automotive
SKU00610,105,8.0,Beauty
SKU00611,148,30.0,Automotive
SKU00612,239,12.0,Home & Garden
SKU00613,309,15.0,Electronics
SKU00614,270,20.0,Electronics
SKU00615,280,25.0,Sports
SKU00616,111,8.0,Clothing
SKU00617,141,30.0,Home & Garden
SKU00618,232,12.0,Food
SKU00619,295,15.0,Food
SKU00620,363,20.0,Toys
SKU00621,62,25.0,Food
SKU00622,387,8.0,Electronics
SKU00623,444,30.0,Books
SKU00624,305,12.0,Sports
SKU00625,245,15.0,Books
SKU00626,462,20.0,Health
SKU00627,91,25.0,Clothing
SKU00628,66,8.0,Sports
SKU00629,179,30.0,Health
SKU00630,291,12.0,Electronics
SKU00631,333,15.0,Clothing
SKU00632,313,20.0,Health
SKU00633,128,25.0,Beauty
SKU00634,118,8.0,Clothing
SKU00635,382,30.0,Electronics
SKU00636,434,12.0,Beauty
SKU00637,66,15.0,Electronics
SKU00638,281,20.0,Beauty
SKU00639,485,25.0,Home & Garden
SKU00640,77,8.0,Books
SKU00641,310,30.0,Sports
SKU00642,369,12.0,Food
SKU00643,305,15.0,Health
SKU00644,483,20.0,Beauty
SKU00645,431,25.0,Electronics
SKU00646,266,8.0,Automotive
SKU00647,198,30.0,Home & Garden
SKU00648,423,12.0,Automotive
SKU00649,400,15.0,Clothing
SKU00650,59,20.0,Beauty
SKU00651,451,25.0,Clothing
SKU00652,364,8.0,Beauty
SKU00653,463,30.0,Beauty
SKU00654,337,12.0,Automotive
SKU00655,171,15.0,Sports
SKU00656,317,20.0,Electronics
SKU00657,446,25.0,Food
SKU00658,409,8.0,Clothing
SKU00659,284,30.0,Beauty
SKU00660,318,12.0,Food
SKU00661,262,15.0,Toys
SKU00662,99,20.0,Clothing
SKU00663,137,25.0,Sports
SKU00664,470,8.0,Home & Garden
SKU00665,52,30.0,Toys
SKU00666,72,12.0,Beauty
SKU00667,177,15.0,Food
SKU00668,193,20.0,Automotive
SKU00669,52,25.0,Health
SKU00670,411,8.0,Books
SKU00671,454,30.0,Home & Garden
SKU00672,115,12.0,Automotive
SKU00673,135,15.0,Food
SKU00674,61,20.0,Automotive
SKU00675,486,25.0,Health
SKU00676,292,8.0,Automotive
SKU00677,361,30.0,Home & Garden
SKU00678,181,12.0,Home & Garden
SKU00679,73,15.0,Sports
SKU00680,279,20.0,Home & Garden
SKU00681,251,25.0,Toys
SKU00682,106,8.0,Toys
SKU00683,168,30.0,Sports
SKU00684,52,12.0,Home & Garden
SKU00685,104,15.0,Food
SKU00686,211,20.0,Beauty
SKU00687,208,25.0,Home & Garden
SKU00688,368,8.0,Toys
SKU00689,158,30.0,Health
SKU00690,405,12.0,Home & Garden
SKU00691,222,15.0,Food
SKU00692,195,20.0,Sports
SKU00693,362,25.0,Automotive
SKU00694,247,8.0,Electronics
SKU00695,448,30.0,Toys
SKU00696,139,12.0,Food
SKU00697,187,15.0,Automotive
SKU00698,386,20.0,Home & Garden
SKU00699,475,25.0,Toys
SKU00700,398,8.0,Home & Garden
SKU00701,454,30.0,Health
SKU00702,139,12.0,Books
SKU00703,468,15.0,Books
SKU00704,149,20.0,Food
SKU00705,223,25.0,Beauty
SKU00706,133,8.0,Toys
SKU00707,262,30.0,Automotive
SKU00708,391,12.0,Sports
SKU00709,488,15.0,Health
SKU00710,385,20.0,Home & Garden
SKU00711,93,25.0,Health
SKU00712,156,8.0,Health
SKU00713,70,30.0,Automotive
SKU00714,56,12.0,Sports
SKU00715,297,15.0,Books
SKU00716,481,20.0,Food
SKU00717,203,25.0,Beauty
SKU00718,363,8.0,Food
SKU00719,180,30.0,Beauty
SKU00720,354,12.0,Health
SKU00721,494,15.0,Food
SKU00722,166,20.0,Home & Garden
SKU00723,130,25.0,Automotive
SKU00724,491,8.0,Books
SKU00725,135,30.0,Food
SKU00726,247,12.0,Beauty
SKU00727,51,15.0,Health
SKU00728,379,20.0,Electronics
SKU00729,135,25.0,Toys
SKU00730,343,8.0,Books
SKU00731,148,30.0,Clothing
SKU00732,98,12.0,Home & Garden
SKU00733,69,15.0,Beauty
SKU00734,425,20.0,Health
SKU00735,460,25.0,Electronics
SKU00736,75,8.0,Sports
SKU00737,297,30.0,Sports
SKU00738,146,12.0,Books
SKU00739,216,15.0,Automotive
SKU00740,476,20.0,Electronics
SKU00741,316,25.0,Home & Garden
SKU00742,457,8.0,Sports
SKU00743,134,30.0,Food
SKU00744,96,12.0,Home & Garden
SKU00745,365,15.0,Health
SKU00746,435,20.0,Automotive
SKU00747,332,25.0,Food
SKU00748,269,8.0,Beauty
SKU00749,150,30.0,Toys
SKU00750,415,12.0,Home & Garden
SKU00751,444,15.0,Beauty
SKU00752,178,20.0,Food
SKU00753,207,25.0,Books
SKU00754,461,8.0,Toys
SKU00755,374,30.0,Food
SKU00756,330,12.0,Food
SKU00757,431,15.0,Clothing
SKU00758,314,20.0,Food
SKU00759,477,25.0,Home & Garden
SKU00760,413,8.0,Clothing
SKU00761,125,30.0,Home & Garden
SKU00762,205,12.0,Sports
SKU00763,229,15.0,Automotive
SKU00764,480,20.0,Automotive
SKU00765,328,25.0,Home & Garden
SKU00766,374,8.0,Books
SKU00767,338,30.0,Electronics
SKU00768,473,12.0,Automotive
SKU00769,250,15.0,Automotive
SKU00770,116,20.0,Electronics
SKU00771,352,25.0,Home & Garden
SKU00772,166,8.0,Clothing
SKU00773,450,30.0,Food
SKU00774,300,12.0,Electronics
SKU00775,140,15.0,Home & Garden
SKU00776,87,20.0,Toys
SKU00777,84,25.0,Automotive
SKU00778,473,8.0,Sports
SKU00779,481,30.0,Home & Garden
SKU00780,475,12.0,Home & Garden
SKU00781,222,15.0,Food
SKU00782,480,20.0,Toys
SKU00783,486,25.0,Home & Garden
SKU00784,335,8.0,Sports
SKU00785,138,30.0,Health
SKU00786,276,12.0,Automotive
SKU00787,117,15.0,Health
SKU00788,410,20.0,Food
SKU00789,65,25.0,Food
SKU00790,207,8.0,Sports
SKU00791,113,30.0,Sports
SKU00792,374,12.0,Electronics
SKU00793,221,15.0,Books
SKU00794,442,20.0,Automotive
SKU00795,57,25.0,Beauty
SKU00796,473,8.0,Toys
SKU00797,96,30.0,Food
SKU00798,75,12.0,Home & Garden
SKU00799,356,15.0,Books
SKU00800,228,20.0,Sports
SKU00801,309,25.0,Books
SKU00802,211,8.0,Sports
SKU00803,121,30.0,Electronics
SKU00804,263,12.0,Beauty
SKU00805,110,15.0,Automotive
SKU00806,185,20.0,Toys
SKU00807,490,25.0,Sports
SKU00808,191,8.0,Food
SKU00809,226,30.0,Toys
SKU00810,351,12.0,Clothing
SKU00811,453,15.0,Automotive
SKU00812,390,20.0,Toys
SKU00813,431,25.0,Toys
SKU00814,354,8.0,Health
SKU00815,356,30.0,Electronics
SKU00816,90,12.0,Sports
SKU00817,444,15.0,Toys
SKU00818,157,20.0,Beauty
SKU00819,158,25.0,Health
SKU00820,139,8.0,Health
SKU00821,57,30.0,Automotive
SKU00822,392,12.0,Electronics
SKU00823,224,15.0,Food
SKU00824,499,20.0,Home & Garden
SKU00825,131,25.0,Electronics
SKU00826,90,8.0,Beauty
SKU00827,334,30.0,Electronics
SKU00828,380,12.0,Health
SKU00829,259,15.0,Food
SKU00830,77,20.0,Electronics
SKU00831,204,25.0,Clothing
SKU00832,449,8.0,Sports
SKU00833,130,30.0,Beauty
SKU00834,360,12.0,Health
SKU00835,98,15.0,Clothing
SKU00836,457,20.0,Clothing
SKU00837,156,25.0,Clothing
SKU00838,424,8.0,Food
SKU00839,237,30.0,Books
SKU00840,205,12.0,Beauty
SKU00841,72,15.0,Home & Garden
SKU00842,167,20.0,Health
SKU00843,216,25.0,Automotive
SKU00844,470,8.0,Books
SKU00845,105,30.0,Home & Garden
SKU00846,197,12.0,Toys
SKU00847,451,15.0,Clothing
SKU00848,175,20.0,Automotive
SKU00849,113,25.0,Health
SKU00850,225,8.0,Electronics
