SKU,Current_Stock,Forecast,Stockout_Risk,Overstock_Risk,Risk_Score,Recommendation,Category
SKU00273,341,30.0,None,High,75,Markdown/Clear,Sports
SKU00274,118,12.0,None,High,75,Markdown/Clear,Books
SKU00275,183,15.0,None,High,75,Markdown/Clear,Sports
SKU00276,395,20.0,None,High,75,Markdown/Clear,Health
SKU00277,267,25.0,None,High,75,Markdown/Clear,Sports
SKU00278,259,8.0,None,High,75,Markdown/Clear,Beauty
SKU00279,220,30.0,None,High,75,Markdown/Clear,Clothing
SKU00280,182,12.0,None,High,75,Markdown/Clear,Sports
SKU00281,427,15.0,None,High,75,Markdown/Clear,Books
SKU00282,78,20.0,None,High,75,Markdown/Clear,Beauty
SKU00283,263,25.0,None,High,75,Markdown/Clear,Health
SKU00284,351,8.0,None,High,75,Markdown/Clear,Beauty
SKU00285,231,30.0,None,High,75,Markdown/Clear,Beauty
SKU00286,368,12.0,None,High,75,Markdown/Clear,Sports
SKU00287,448,15.0,None,High,75,Markdown/Clear,Books
SKU00288,186,20.0,None,High,75,Markdown/Clear,Health
SKU00289,166,25.0,None,High,75,Markdown/Clear,Beauty
SKU00290,112,8.0,None,High,75,Markdown/Clear,Electronics
SKU00291,435,30.0,None,High,75,Markdown/Clear,Sports
SKU00292,396,12.0,None,High,75,Markdown/Clear,Toys
SKU00293,413,15.0,None,High,75,Markdown/Clear,Books
SKU00294,74,20.0,None,High,75,Markdown/Clear,Health
SKU00295,393,25.0,None,High,75,Markdown/Clear,Automotive
SKU00296,112,8.0,None,High,75,Markdown/Clear,Health
SKU00297,419,30.0,None,High,75,Markdown/Clear,Clothing
SKU00298,197,12.0,None,High,75,Markdown/Clear,Home & Garden
SKU00299,376,15.0,None,High,75,Markdown/Clear,Sports
SKU00300,428,20.0,None,High,75,Markdown/Clear,Electronics
SKU00301,81,25.0,None,High,75,Markdown/Clear,Health
SKU00302,335,8.0,None,High,75,Markdown/Clear,Food
SKU00303,67,30.0,None,High,75,Markdown/Clear,Sports
SKU00304,243,12.0,None,High,75,Markdown/Clear,Beauty
SKU00305,484,15.0,None,High,75,Markdown/Clear,Food
SKU00306,313,20.0,None,High,75,Markdown/Clear,Electronics
SKU00307,337,25.0,None,High,75,Markdown/Clear,Beauty
SKU00308,429,8.0,None,High,75,Markdown/Clear,Home & Garden
SKU00309,337,30.0,None,High,75,Markdown/Clear,Electronics
SKU00310,370,12.0,None,High,75,Markdown/Clear,Sports
SKU00311,492,15.0,None,High,75,Markdown/Clear,Food
SKU00312,100,20.0,None,High,75,Markdown/Clear,Home & Garden
SKU00313,340,25.0,None,High,75,Markdown/Clear,Food
SKU00314,169,12.0,None,High,75,Markdown/Clear,Food
SKU00315,214,20.0,None,High,75,Markdown/Clear,Food
SKU00316,272,8.0,None,High,75,Markdown/Clear,Beauty
SKU00317,379,25.0,None,High,75,Markdown/Clear,Home & Garden
SKU00318,134,15.0,None,High,75,Markdown/Clear,Beauty
SKU00319,334,30.0,None,High,75,Markdown/Clear,Beauty
SKU00320,434,12.0,None,High,75,Markdown/Clear,Sports
SKU00321,60,20.0,None,High,75,Markdown/Clear,Food
SKU00322,69,25.0,None,High,75,Markdown/Clear,Food
SKU00323,305,8.0,None,High,75,Markdown/Clear,Home & Garden
SKU00324,477,30.0,None,High,75,Markdown/Clear,Clothing
SKU00325,130,12.0,None,High,75,Markdown/Clear,Health
SKU00326,264,15.0,None,High,75,Markdown/Clear,Food
SKU00327,58,20.0,None,High,75,Markdown/Clear,Toys
SKU00328,408,25.0,None,High,75,Markdown/Clear,Books
SKU00329,284,8.0,None,High,75,Markdown/Clear,Toys
SKU00330,78,30.0,None,High,75,Markdown/Clear,Beauty
SKU00331,124,12.0,None,High,75,Markdown/Clear,Electronics
SKU00332,405,15.0,None,High,75,Markdown/Clear,Automotive
SKU00333,66,20.0,None,High,75,Markdown/Clear,Food
SKU00334,362,25.0,None,High,75,Markdown/Clear,Sports
SKU00335,147,8.0,None,High,75,Markdown/Clear,Clothing
SKU00336,443,30.0,None,High,75,Markdown/Clear,Clothing
SKU00337,239,12.0,None,High,75,Markdown/Clear,Automotive
SKU00338,412,15.0,None,High,75,Markdown/Clear,Automotive
SKU00339,341,20.0,None,High,75,Markdown/Clear,Books
SKU00340,345,25.0,None,High,75,Markdown/Clear,Automotive
SKU00341,344,8.0,None,High,75,Markdown/Clear,Clothing
SKU00342,160,30.0,None,High,75,Markdown/Clear,Food
SKU00343,118,12.0,None,High,75,Markdown/Clear,Books
SKU00344,288,15.0,None,High,75,Markdown/Clear,Clothing
SKU00345,414,20.0,None,High,75,Markdown/Clear,Home & Garden
SKU00346,499,25.0,None,High,75,Markdown/Clear,Books
SKU00347,66,8.0,None,High,75,Markdown/Clear,Sports
SKU00348,476,30.0,None,High,75,Markdown/Clear,Home & Garden
SKU00349,340,12.0,None,High,75,Markdown/Clear,Beauty
SKU00350,484,15.0,None,High,75,Markdown/Clear,Electronics
SKU00351,324,20.0,None,High,75,Markdown/Clear,Home & Garden
SKU00352,494,25.0,None,High,75,Markdown/Clear,Clothing
SKU00353,360,30.0,None,High,75,Markdown/Clear,Automotive
SKU00354,198,12.0,None,High,75,Markdown/Clear,Automotive
SKU00355,249,15.0,None,High,75,Markdown/Clear,Automotive
SKU00356,192,20.0,None,High,75,Markdown/Clear,Books
SKU00357,96,25.0,None,High,75,Markdown/Clear,Toys
SKU00358,248,8.0,None,High,75,Markdown/Clear,Electronics
SKU00359,135,30.0,None,High,75,Markdown/Clear,Food
SKU00360,186,12.0,None,High,75,Markdown/Clear,Beauty
SKU00361,264,15.0,None,High,75,Markdown/Clear,Electronics
SKU00362,451,20.0,None,High,75,Markdown/Clear,Toys
SKU00363,63,25.0,None,High,75,Markdown/Clear,Health
SKU00364,350,8.0,None,High,75,Markdown/Clear,Health
SKU00365,220,30.0,None,High,75,Markdown/Clear,Health
SKU00366,413,12.0,None,High,75,Markdown/Clear,Books
SKU00367,398,15.0,None,High,75,Markdown/Clear,Beauty
SKU00368,259,20.0,None,High,75,Markdown/Clear,Clothing
SKU00369,360,25.0,None,High,75,Markdown/Clear,Home & Garden
SKU00370,463,8.0,None,High,75,Markdown/Clear,Electronics
SKU00371,145,30.0,None,High,75,Markdown/Clear,Clothing
SKU00372,351,12.0,None,High,75,Markdown/Clear,Health
SKU00373,294,15.0,None,High,75,Markdown/Clear,Beauty
SKU00374,463,20.0,None,High,75,Markdown/Clear,Automotive
SKU00375,114,25.0,None,High,75,Markdown/Clear,Health
SKU00376,478,8.0,None,High,75,Markdown/Clear,Home & Garden
SKU00377,373,30.0,None,High,75,Markdown/Clear,Food
SKU00378,481,12.0,None,High,75,Markdown/Clear,Home & Garden
SKU00379,354,15.0,None,High,75,Markdown/Clear,Electronics
SKU00380,236,20.0,None,High,75,Markdown/Clear,Automotive
SKU00381,429,25.0,None,High,75,Markdown/Clear,Automotive
SKU00382,368,8.0,None,High,75,Markdown/Clear,Food
SKU00383,111,30.0,None,High,75,Markdown/Clear,Electronics
SKU00384,248,12.0,None,High,75,Markdown/Clear,Clothing
SKU00385,121,15.0,None,High,75,Markdown/Clear,Automotive
SKU00386,267,20.0,None,High,75,Markdown/Clear,Automotive
SKU00387,425,25.0,None,High,75,Markdown/Clear,Sports
SKU00388,103,8.0,None,High,75,Markdown/Clear,Books
SKU00389,58,30.0,Low,High,75,Watch,Beauty
SKU00390,428,12.0,None,High,75,Markdown/Clear,Clothing
SKU00391,194,15.0,None,High,75,Markdown/Clear,Beauty
SKU00392,276,20.0,None,High,75,Markdown/Clear,Books
SKU00393,447,25.0,None,High,75,Markdown/Clear,Clothing
SKU00394,372,8.0,None,High,75,Markdown/Clear,Health
SKU00395,458,30.0,None,High,75,Markdown/Clear,Books
SKU00396,89,12.0,None,High,75,Markdown/Clear,Automotive
SKU00397,492,15.0,None,High,75,Markdown/Clear,Health
SKU00398,377,20.0,None,High,75,Markdown/Clear,Electronics
SKU00399,86,25.0,None,High,75,Markdown/Clear,Toys
SKU00400,350,8.0,None,High,75,Markdown/Clear,Automotive
SKU00401,372,30.0,None,High,75,Markdown/Clear,Clothing
SKU00402,396,12.0,None,High,75,Markdown/Clear,Automotive
SKU00403,265,15.0,None,High,75,Markdown/Clear,Health
SKU00404,108,20.0,None,High,75,Markdown/Clear,Books
SKU00405,412,25.0,None,High,75,Markdown/Clear,Toys
SKU00406,219,8.0,None,High,75,Markdown/Clear,Health
SKU00407,237,30.0,None,High,75,Markdown/Clear,Books
SKU00408,363,12.0,None,High,75,Markdown/Clear,Home & Garden
SKU00409,443,15.0,None,High,75,Markdown/Clear,Clothing
SKU00410,207,20.0,None,High,75,Markdown/Clear,Electronics
SKU00411,255,25.0,None,High,75,Markdown/Clear,Beauty
SKU00412,273,8.0,None,High,75,Markdown/Clear,Automotive
SKU00413,409,30.0,None,High,75,Markdown/Clear,Books
SKU00414,497,12.0,None,High,75,Markdown/Clear,Toys
SKU00415,463,15.0,None,High,75,Markdown/Clear,Health
SKU00416,461,20.0,None,High,75,Markdown/Clear,Health
SKU00417,245,25.0,None,High,75,Markdown/Clear,Food
SKU00418,268,8.0,None,High,75,Markdown/Clear,Food
SKU00419,455,30.0,None,High,75,Markdown/Clear,Electronics
SKU00420,71,12.0,None,High,75,Markdown/Clear,Clothing
SKU00421,319,15.0,None,High,75,Markdown/Clear,Home & Garden
SKU00422,430,20.0,None,High,75,Markdown/Clear,Food
SKU00423,444,25.0,None,High,75,Markdown/Clear,Books
SKU00424,484,8.0,None,High,75,Markdown/Clear,Sports
SKU00425,479,30.0,None,High,75,Markdown/Clear,Electronics
SKU00426,88,12.0,None,High,75,Markdown/Clear,Toys
SKU00427,206,15.0,None,High,75,Markdown/Clear,Clothing
SKU00428,179,20.0,None,High,75,Markdown/Clear,Sports
SKU00429,76,25.0,None,High,75,Markdown/Clear,Food
SKU00430,141,8.0,None,High,75,Markdown/Clear,Home & Garden
SKU00431,406,30.0,None,High,75,Markdown/Clear,Clothing
SKU00432,196,12.0,None,High,75,Markdown/Clear,Electronics
SKU00433,306,15.0,None,High,75,Markdown/Clear,Food
SKU00434,211,20.0,None,High,75,Markdown/Clear,Clothing
SKU00435,330,25.0,None,High,75,Markdown/Clear,Home & Garden
SKU00436,257,8.0,None,High,75,Markdown/Clear,Books
SKU00437,479,30.0,None,High,75,Markdown/Clear,Sports
SKU00438,57,12.0,None,High,75,Markdown/Clear,Home & Garden
SKU00439,99,15.0,None,High,75,Markdown/Clear,Toys
SKU00440,477,20.0,None,High,75,Markdown/Clear,Electronics
SKU00441,427,25.0,None,High,75,Markdown/Clear,Beauty
SKU00442,64,8.0,None,High,75,Markdown/Clear,Books
SKU00443,431,30.0,None,High,75,Markdown/Clear,Clothing
